,Unnamed: 0,author,date,link,title,status,id
2001,2001,Camille A. Brown,Sep 2016,https://www.ted.com/talks/camille_a_brown_a_visual_history_of_social_dance_in_25_moves?language=zh-cn,从25个舞步中“看见”社交舞历史,0,2589
2002,2002,J.D. Vance,Sep 2016,https://www.ted.com/talks/j_d_vance_america_s_forgotten_working_class?language=zh-cn,被遗忘的美国工人阶级,0,2588
2003,2003,Rebecca MacKinnon,Sep 2016,https://www.ted.com/talks/rebecca_mackinnon_we_can_fight_terror_without_sacrificing_our_rights?language=zh-cn,不必牺牲我们的权利去对抗恐怖主义,0,2567
2004,2004,Nadia Lopez,Sep 2016,https://www.ted.com/talks/nadia_lopez_why_open_a_school_to_close_a_prison?language=zh-cn,开办一所学校，即关闭一所监狱,0,2586
2005,2005,David Burkus,Sep 2016,https://www.ted.com/talks/david_burkus_why_you_should_know_how_much_your_coworkers_get_paid?language=zh-cn,为什么你应该知道同事的薪资,0,2585
2006,2006,Eric Liu,Sep 2016,https://www.ted.com/talks/eric_liu_there_s_no_such_thing_as_not_voting?language=zh-cn,不存在“不投票”这种事,0,2587
2007,2007,Abigail Marsh,Sep 2016,https://www.ted.com/talks/abigail_marsh_why_some_people_are_more_altruistic_than_others?language=zh-cn,强烈的利他心理从何而来,0,2584
2008,2008,Michael Murphy,Sep 2016,https://www.ted.com/talks/michael_murphy_architecture_that_s_built_to_heal?language=zh-cn,用建筑来获得疗愈,0,2532
2009,2009,Julie Lythcott-Haims,Sep 2016,https://www.ted.com/talks/julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting?language=zh-cn,正确的教育方式－避免过度呵护,0,2582
2010,2010,Neha Narula,Sep 2016,https://www.ted.com/talks/neha_narula_the_future_of_money?language=zh-cn,未来的货币,0,2554
2011,2011,Courtney E. Martin,Sep 2016,https://www.ted.com/talks/courtney_martin_the_new_american_dream?language=zh-cn,新美国梦,0,2580
2012,2012,Sal Khan,Sep 2016,https://www.ted.com/talks/sal_khan_let_s_teach_for_mastery_not_test_scores?language=zh-cn,让我们为掌握而教，而不是为了考试分数,0,2579
2013,2013,James Veitch,Sep 2016,https://www.ted.com/talks/james_veitch_the_agony_of_trying_to_unsubscribe?language=zh-cn,取消订阅的烦恼,0,2577
2014,2014,Jonathan Tepperman,Sep 2016,https://www.ted.com/talks/jonathan_tepperman_the_risky_politics_of_progress?language=zh-cn,在危机中前行的政治,0,2575
2015,2015,Kio Stark,Aug 2016,https://www.ted.com/talks/kio_stark_why_you_should_talk_to_strangers?language=zh-cn,为什么我们需要与陌生人交流,0,2574
2016,2016,Kevin Kelly,Dec 2016,https://www.ted.com/talks/kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution?language=zh-cn,人工智能将如何推动第二次工业革命,0,2645
2017,2017,Jia Jiang,Dec 2016,https://www.ted.com/talks/jia_jiang_what_i_learned_from_100_days_of_rejection?language=zh-cn,我从“被拒100天”学到的,0,2638
2018,2018,Danny Dorling,Nov 2016,https://www.ted.com/talks/danny_dorling_maps_that_show_us_who_we_are_not_just_where_we_are?language=zh-cn,地图能让我们认识到真正的自己（不仅仅告诉我们在哪）,0,2591
2019,2019,Juan Enriquez,Nov 2016,https://www.ted.com/talks/juan_enriquez_what_will_humans_look_like_in_100_years?language=zh-cn,人类100年后会变成什么样子？,0,2632
2020,2020,Roger Antonsen,Nov 2016,https://www.ted.com/talks/roger_antonsen_math_is_the_hidden_secret_to_understanding_the_world?language=zh-cn,理解世界的秘诀：数学,0,2620
2021,2021,Hector Garcia,Nov 2016,https://www.ted.com/talks/hector_garcia_we_train_soldiers_for_war_let_s_train_them_to_come_home_too?language=zh-cn,我们训练士兵在战场上冲锋陷阵；让我们也训练他们如何回家,0,2624
2022,2022,Halla Tómasdóttir,Nov 2016,https://www.ted.com/talks/halla_tomasdottir_it_s_time_for_women_to_run_for_office?language=zh-cn,是时候让女性投身政治了,0,2621
2023,2023,Mallory Soldner,Nov 2016,https://www.ted.com/talks/mallory_soldner_your_company_s_data_could_end_world_hunger?language=zh-cn,你们的数据可以帮助终结世界饥饿问题,0,2617
2024,2024,Kandice Sumner,Nov 2016,https://www.ted.com/talks/kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty?language=zh-cn,美国公立学校如何未能让孩子走出贫困,0,2616
2025,2025,Christopher Soghoian,Oct 2016,https://www.ted.com/talks/christopher_soghoian_your_smartphone_is_a_civil_rights_issue?language=zh-cn,你的智能手机关乎公民权利,0,2614
2026,2026,Silk Road Ensemble and Rhiannon Giddens,Oct 2016,https://www.ted.com/talks/silk_road_ensemble_rhiannon_giddens_st_james_infirmary_blues?language=zh-cn,St. James 医院的忧愁,0,2611
2027,2027,Wanis Kabbaj,Oct 2016,https://www.ted.com/talks/wanis_kabbaj_what_a_driverless_world_could_look_like?language=zh-cn,一个无人驾驶的世界会是什么样的？,0,2609
2028,2028,Philippa Neave,Oct 2016,https://www.ted.com/talks/philippa_neave_the_unexpected_challenges_of_a_country_s_first_election?language=zh-cn,国家第一次选举的未知挑战,0,2608
2029,2029,Todd Coleman,Oct 2016,https://www.ted.com/talks/todd_coleman_a_temporary_tattoo_that_brings_hospital_care_to_the_home?language=zh-cn,临时纹身，将医院带回家,0,2605
2030,2030,Trevor Copp and Jeff Fox,Oct 2016,https://www.ted.com/talks/trevor_copp_jeff_fox_ballroom_dance_that_breaks_gender_roles?language=zh-cn,打破性别限定的交谊舞,0,2602
2031,2031,Pico Iyer,Oct 2016,https://www.ted.com/talks/pico_iyer_the_beauty_of_what_we_ll_never_know?language=zh-cn,未知的美丽,0,2598
2032,2032,Ione Wells,Oct 2016,https://www.ted.com/talks/ione_wells_how_we_talk_about_sexual_assault_online?language=zh-cn,如何在网上讨论性侵行为,0,2597
2033,2033,Rainn Wilson,Oct 2016,https://www.ted.com/talks/rainn_wilson_ideas_worth_dating?language=zh-cn,跟想法约会吧！,0,2576
2034,2034,Adam de la Zerda,Oct 2016,https://www.ted.com/talks/adam_de_la_zerda_how_we_can_start_winning_the_war_against_cancer?language=zh-cn,我们怎样能够开始赢得与癌症战争的胜利,0,2599
2035,2035,Ellen Jorgensen,Oct 2016,https://www.ted.com/talks/ellen_jorgensen_what_you_need_to_know_about_crispr?language=zh-cn,关于CRISPR你必须知道的东西,0,2593
2036,2036,Sam Harris,Sep 2016,https://www.ted.com/talks/sam_harris_can_we_build_ai_without_losing_control_over_it?language=zh-cn,我们能打造人工智能且同时掌握控制权吗？,0,2592
2037,2037,Camille A. Brown,Sep 2016,https://www.ted.com/talks/camille_a_brown_a_visual_history_of_social_dance_in_25_moves?language=zh-cn,从25个舞步中“看见”社交舞历史,0,2589
2038,2038,J.D. Vance,Sep 2016,https://www.ted.com/talks/j_d_vance_america_s_forgotten_working_class?language=zh-cn,被遗忘的美国工人阶级,0,2588
2039,2039,Rebecca MacKinnon,Sep 2016,https://www.ted.com/talks/rebecca_mackinnon_we_can_fight_terror_without_sacrificing_our_rights?language=zh-cn,不必牺牲我们的权利去对抗恐怖主义,0,2567
2040,2040,Nadia Lopez,Sep 2016,https://www.ted.com/talks/nadia_lopez_why_open_a_school_to_close_a_prison?language=zh-cn,开办一所学校，即关闭一所监狱,0,2586
2041,2041,David Burkus,Sep 2016,https://www.ted.com/talks/david_burkus_why_you_should_know_how_much_your_coworkers_get_paid?language=zh-cn,为什么你应该知道同事的薪资,0,2585
2042,2042,Eric Liu,Sep 2016,https://www.ted.com/talks/eric_liu_there_s_no_such_thing_as_not_voting?language=zh-cn,不存在“不投票”这种事,0,2587
2043,2043,Abigail Marsh,Sep 2016,https://www.ted.com/talks/abigail_marsh_why_some_people_are_more_altruistic_than_others?language=zh-cn,强烈的利他心理从何而来,0,2584
2044,2044,Michael Murphy,Sep 2016,https://www.ted.com/talks/michael_murphy_architecture_that_s_built_to_heal?language=zh-cn,用建筑来获得疗愈,0,2532
2045,2045,Julie Lythcott-Haims,Sep 2016,https://www.ted.com/talks/julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting?language=zh-cn,正确的教育方式－避免过度呵护,0,2582
2046,2046,Neha Narula,Sep 2016,https://www.ted.com/talks/neha_narula_the_future_of_money?language=zh-cn,未来的货币,0,2554
2047,2047,Courtney E. Martin,Sep 2016,https://www.ted.com/talks/courtney_martin_the_new_american_dream?language=zh-cn,新美国梦,0,2580
2048,2048,Sal Khan,Sep 2016,https://www.ted.com/talks/sal_khan_let_s_teach_for_mastery_not_test_scores?language=zh-cn,让我们为掌握而教，而不是为了考试分数,0,2579
2049,2049,James Veitch,Sep 2016,https://www.ted.com/talks/james_veitch_the_agony_of_trying_to_unsubscribe?language=zh-cn,取消订阅的烦恼,0,2577
2050,2050,Jonathan Tepperman,Sep 2016,https://www.ted.com/talks/jonathan_tepperman_the_risky_politics_of_progress?language=zh-cn,在危机中前行的政治,0,2575
2051,2051,Kio Stark,Aug 2016,https://www.ted.com/talks/kio_stark_why_you_should_talk_to_strangers?language=zh-cn,为什么我们需要与陌生人交流,0,2574
2052,2052,Kevin Kelly,Dec 2016,https://www.ted.com/talks/kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution?language=zh-cn,人工智能将如何推动第二次工业革命,0,2645
2053,2053,Jia Jiang,Dec 2016,https://www.ted.com/talks/jia_jiang_what_i_learned_from_100_days_of_rejection?language=zh-cn,我从“被拒100天”学到的,0,2638
2054,2054,Danny Dorling,Nov 2016,https://www.ted.com/talks/danny_dorling_maps_that_show_us_who_we_are_not_just_where_we_are?language=zh-cn,地图能让我们认识到真正的自己（不仅仅告诉我们在哪）,0,2591
2055,2055,Juan Enriquez,Nov 2016,https://www.ted.com/talks/juan_enriquez_what_will_humans_look_like_in_100_years?language=zh-cn,人类100年后会变成什么样子？,0,2632
2056,2056,Roger Antonsen,Nov 2016,https://www.ted.com/talks/roger_antonsen_math_is_the_hidden_secret_to_understanding_the_world?language=zh-cn,理解世界的秘诀：数学,0,2620
2057,2057,Hector Garcia,Nov 2016,https://www.ted.com/talks/hector_garcia_we_train_soldiers_for_war_let_s_train_them_to_come_home_too?language=zh-cn,我们训练士兵在战场上冲锋陷阵；让我们也训练他们如何回家,0,2624
2058,2058,Halla Tómasdóttir,Nov 2016,https://www.ted.com/talks/halla_tomasdottir_it_s_time_for_women_to_run_for_office?language=zh-cn,是时候让女性投身政治了,0,2621
2059,2059,Mallory Soldner,Nov 2016,https://www.ted.com/talks/mallory_soldner_your_company_s_data_could_end_world_hunger?language=zh-cn,你们的数据可以帮助终结世界饥饿问题,0,2617
2060,2060,Kandice Sumner,Nov 2016,https://www.ted.com/talks/kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty?language=zh-cn,美国公立学校如何未能让孩子走出贫困,0,2616
2061,2061,Christopher Soghoian,Oct 2016,https://www.ted.com/talks/christopher_soghoian_your_smartphone_is_a_civil_rights_issue?language=zh-cn,你的智能手机关乎公民权利,0,2614
2062,2062,Silk Road Ensemble and Rhiannon Giddens,Oct 2016,https://www.ted.com/talks/silk_road_ensemble_rhiannon_giddens_st_james_infirmary_blues?language=zh-cn,St. James 医院的忧愁,0,2611
2063,2063,Wanis Kabbaj,Oct 2016,https://www.ted.com/talks/wanis_kabbaj_what_a_driverless_world_could_look_like?language=zh-cn,一个无人驾驶的世界会是什么样的？,0,2609
2064,2064,Philippa Neave,Oct 2016,https://www.ted.com/talks/philippa_neave_the_unexpected_challenges_of_a_country_s_first_election?language=zh-cn,国家第一次选举的未知挑战,0,2608
2065,2065,Todd Coleman,Oct 2016,https://www.ted.com/talks/todd_coleman_a_temporary_tattoo_that_brings_hospital_care_to_the_home?language=zh-cn,临时纹身，将医院带回家,0,2605
2066,2066,Trevor Copp and Jeff Fox,Oct 2016,https://www.ted.com/talks/trevor_copp_jeff_fox_ballroom_dance_that_breaks_gender_roles?language=zh-cn,打破性别限定的交谊舞,0,2602
2067,2067,Pico Iyer,Oct 2016,https://www.ted.com/talks/pico_iyer_the_beauty_of_what_we_ll_never_know?language=zh-cn,未知的美丽,0,2598
2068,2068,Ione Wells,Oct 2016,https://www.ted.com/talks/ione_wells_how_we_talk_about_sexual_assault_online?language=zh-cn,如何在网上讨论性侵行为,0,2597
2069,2069,Rainn Wilson,Oct 2016,https://www.ted.com/talks/rainn_wilson_ideas_worth_dating?language=zh-cn,跟想法约会吧！,0,2576
2070,2070,Adam de la Zerda,Oct 2016,https://www.ted.com/talks/adam_de_la_zerda_how_we_can_start_winning_the_war_against_cancer?language=zh-cn,我们怎样能够开始赢得与癌症战争的胜利,0,2599
2071,2071,Ellen Jorgensen,Oct 2016,https://www.ted.com/talks/ellen_jorgensen_what_you_need_to_know_about_crispr?language=zh-cn,关于CRISPR你必须知道的东西,0,2593
2072,2072,Sam Harris,Sep 2016,https://www.ted.com/talks/sam_harris_can_we_build_ai_without_losing_control_over_it?language=zh-cn,我们能打造人工智能且同时掌握控制权吗？,0,2592
2073,2073,Camille A. Brown,Sep 2016,https://www.ted.com/talks/camille_a_brown_a_visual_history_of_social_dance_in_25_moves?language=zh-cn,从25个舞步中“看见”社交舞历史,0,2589
2074,2074,J.D. Vance,Sep 2016,https://www.ted.com/talks/j_d_vance_america_s_forgotten_working_class?language=zh-cn,被遗忘的美国工人阶级,0,2588
2075,2075,Rebecca MacKinnon,Sep 2016,https://www.ted.com/talks/rebecca_mackinnon_we_can_fight_terror_without_sacrificing_our_rights?language=zh-cn,不必牺牲我们的权利去对抗恐怖主义,0,2567
2076,2076,Nadia Lopez,Sep 2016,https://www.ted.com/talks/nadia_lopez_why_open_a_school_to_close_a_prison?language=zh-cn,开办一所学校，即关闭一所监狱,0,2586
2077,2077,David Burkus,Sep 2016,https://www.ted.com/talks/david_burkus_why_you_should_know_how_much_your_coworkers_get_paid?language=zh-cn,为什么你应该知道同事的薪资,0,2585
2078,2078,Eric Liu,Sep 2016,https://www.ted.com/talks/eric_liu_there_s_no_such_thing_as_not_voting?language=zh-cn,不存在“不投票”这种事,0,2587
2079,2079,Abigail Marsh,Sep 2016,https://www.ted.com/talks/abigail_marsh_why_some_people_are_more_altruistic_than_others?language=zh-cn,强烈的利他心理从何而来,0,2584
2080,2080,Michael Murphy,Sep 2016,https://www.ted.com/talks/michael_murphy_architecture_that_s_built_to_heal?language=zh-cn,用建筑来获得疗愈,0,2532
2081,2081,Julie Lythcott-Haims,Sep 2016,https://www.ted.com/talks/julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting?language=zh-cn,正确的教育方式－避免过度呵护,0,2582
2082,2082,Neha Narula,Sep 2016,https://www.ted.com/talks/neha_narula_the_future_of_money?language=zh-cn,未来的货币,0,2554
2083,2083,Courtney E. Martin,Sep 2016,https://www.ted.com/talks/courtney_martin_the_new_american_dream?language=zh-cn,新美国梦,0,2580
2084,2084,Sal Khan,Sep 2016,https://www.ted.com/talks/sal_khan_let_s_teach_for_mastery_not_test_scores?language=zh-cn,让我们为掌握而教，而不是为了考试分数,0,2579
2085,2085,James Veitch,Sep 2016,https://www.ted.com/talks/james_veitch_the_agony_of_trying_to_unsubscribe?language=zh-cn,取消订阅的烦恼,0,2577
2086,2086,Jonathan Tepperman,Sep 2016,https://www.ted.com/talks/jonathan_tepperman_the_risky_politics_of_progress?language=zh-cn,在危机中前行的政治,0,2575
2087,2087,Kio Stark,Aug 2016,https://www.ted.com/talks/kio_stark_why_you_should_talk_to_strangers?language=zh-cn,为什么我们需要与陌生人交流,0,2574
2088,2088,Kevin Kelly,Dec 2016,https://www.ted.com/talks/kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution?language=zh-cn,人工智能将如何推动第二次工业革命,0,2645
2089,2089,Jia Jiang,Dec 2016,https://www.ted.com/talks/jia_jiang_what_i_learned_from_100_days_of_rejection?language=zh-cn,我从“被拒100天”学到的,0,2638
2090,2090,Danny Dorling,Nov 2016,https://www.ted.com/talks/danny_dorling_maps_that_show_us_who_we_are_not_just_where_we_are?language=zh-cn,地图能让我们认识到真正的自己（不仅仅告诉我们在哪）,0,2591
2091,2091,Juan Enriquez,Nov 2016,https://www.ted.com/talks/juan_enriquez_what_will_humans_look_like_in_100_years?language=zh-cn,人类100年后会变成什么样子？,0,2632
2092,2092,Roger Antonsen,Nov 2016,https://www.ted.com/talks/roger_antonsen_math_is_the_hidden_secret_to_understanding_the_world?language=zh-cn,理解世界的秘诀：数学,0,2620
2093,2093,Hector Garcia,Nov 2016,https://www.ted.com/talks/hector_garcia_we_train_soldiers_for_war_let_s_train_them_to_come_home_too?language=zh-cn,我们训练士兵在战场上冲锋陷阵；让我们也训练他们如何回家,0,2624
2094,2094,Halla Tómasdóttir,Nov 2016,https://www.ted.com/talks/halla_tomasdottir_it_s_time_for_women_to_run_for_office?language=zh-cn,是时候让女性投身政治了,0,2621
2095,2095,Mallory Soldner,Nov 2016,https://www.ted.com/talks/mallory_soldner_your_company_s_data_could_end_world_hunger?language=zh-cn,你们的数据可以帮助终结世界饥饿问题,0,2617
2096,2096,Kandice Sumner,Nov 2016,https://www.ted.com/talks/kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty?language=zh-cn,美国公立学校如何未能让孩子走出贫困,0,2616
2097,2097,Christopher Soghoian,Oct 2016,https://www.ted.com/talks/christopher_soghoian_your_smartphone_is_a_civil_rights_issue?language=zh-cn,你的智能手机关乎公民权利,0,2614
2098,2098,Silk Road Ensemble and Rhiannon Giddens,Oct 2016,https://www.ted.com/talks/silk_road_ensemble_rhiannon_giddens_st_james_infirmary_blues?language=zh-cn,St. James 医院的忧愁,0,2611
2099,2099,Wanis Kabbaj,Oct 2016,https://www.ted.com/talks/wanis_kabbaj_what_a_driverless_world_could_look_like?language=zh-cn,一个无人驾驶的世界会是什么样的？,0,2609
